"","ID","Start_Year","End_Year","Length","R_Linear","R_Quar","R_Exponen","Correlation","pvalue"
"1"," "," "," "," "," "," "," "," "," "
"2","1002300","1993","2016","24","0.1976","0.1881","0.1976","0.444","0.0295"
"3"," "," "," "," "," "," "," "," "," "
"4","1003300","1992","2016","25","0.1862","0.173","0.1862","0.432","0.0312"
"5"," "," "," "," "," "," "," "," "," "
"6","1003400","1999","2016","18","0.1708","0.5637","0.1708","0.413","0.0882"
"7"," "," "," "," "," "," "," "," "," "
"8","1004500","1993","2016","24","0.1076","0.1471","0.1076","0.328","0.1176"
"9"," "," "," "," "," "," "," "," "," "
"10","1005700","2000","2016","17","0.3208","0.3608","0.3208","0.566","0.0178"
"11"," "," "," "," "," "," "," "," "," "
"12","1007700","1993","2016","24","0.1969","0.3282","0.197","0.444","0.0298"
"13"," "," "," "," "," "," "," "," "," "
"14","1008700","1995","2016","22","0.1659","0.1978","0.1658","0.407","0.0599"
"15"," "," "," "," "," "," "," "," "," "
"16","1009100","2001","2016","16","0.0983","0.0916","0.0983","0.313","0.2371"
"17"," "," "," "," "," "," "," "," "," "
"18","1009300","1995","2016","22","0.0223","0.0645","0.0223","0.149","0.5068"
"19"," "," "," "," "," "," "," "," "," "
"20","1009600","1993","2016","24","0.1185","0.1016","0.1186","0.344","0.0995"
"21"," "," "," "," "," "," "," "," "," "
"22","1010100","1993","2016","24","0.0871","0.0817","0.0871","0.295","0.1615"
"23"," "," "," "," "," "," "," "," "," "
"24","1010200","1997","2016","20","0.025","0.0287","0.025","0.158","0.5054"
"25"," "," "," "," "," "," "," "," "," "
"26","1010500","1991","2016","26","0.0235","0.052","0.0235","0.153","0.4545"
"27"," "," "," "," "," "," "," "," "," "
"28","1012300","1994","2016","23","0.087","0.09","0.087","0.295","0.172"
"29"," "," "," "," "," "," "," "," "," "
"30","1012500","1992","2016","25","0.0025","0.3081","0.0025","0.05","0.8113"
"31"," "," "," "," "," "," "," "," "," "
"32","1013600","1991","2016","26","0.1091","0.0917","0.1091","0.33","0.0994"
"33"," "," "," "," "," "," "," "," "," "
"34","1015900","1990","2016","27","0.0787","0.1595","0.0787","0.281","0.1564"
"35"," "," "," "," "," "," "," "," "," "
"36","1017000","1998","2016","19","0.0099","0.1677","0.0099","0.099","0.6853"
"37"," "," "," "," "," "," "," "," "," "
"38","1017800","1991","2016","26","0.091","0.0945","0.091","0.302","0.1341"
"39"," "," "," "," "," "," "," "," "," "
"40","1020400","1991","2003","13","0.1747","0.1881","0.1747","0.418","0.1552"
"41"," "," "," "," "," "," "," "," "," "
"42","1020900","1992","2016","25","0.0756","0.0744","0.0756","0.275","0.1836"
"43"," "," "," "," "," "," "," "," "," "
"44","2000900","1990","2016","27","0.1373","0.1432","0.1373","0.37","0.0571"
"45"," "," "," "," "," "," "," "," "," "
"46","2001500","1992","2016","25","0.0441","0.0785","0.0441","0.21","0.3137"
"47"," "," "," "," "," "," "," "," "," "
"48","2001600","1990","2016","27","0.0823","0.1728","0.0823","0.287","0.1468"
"49"," "," "," "," "," "," "," "," "," "
"50","2002600","1990","2016","27","0.0303","0.0403","0.0303","0.174","0.3851"
"51"," "," "," "," "," "," "," "," "," "
"52","2003400","1990","2015","26","0.1912","0.2551","0.1912","0.437","0.0255"
"53"," "," "," "," "," "," "," "," "," "
"54","2003500","1990","2016","27","0.0115","0.1189","0.0115","0.107","0.5943"
"55"," "," "," "," "," "," "," "," "," "
"56","2003600","1994","2016","23","0.0414","0.1646","0.0414","0.203","0.3518"
"57"," "," "," "," "," "," "," "," "," "
"58","2004200","1990","2016","27","0.0374","0.1528","0.0373","0.193","0.3341"
"59"," "," "," "," "," "," "," "," "," "
"60","2004500","1990","2016","27","0.2529","0.2412","0.2529","0.503","0.0075"
"61"," "," "," "," "," "," "," "," "," "
"62","2005200","1990","2016","27","0.0231","0.0488","0.0231","0.152","0.4493"
"63"," "," "," "," "," "," "," "," "," "
"64","2005300","1990","2016","27","0.0347","0.0524","0.0347","0.186","0.3525"
"65"," "," "," "," "," "," "," "," "," "
"66","2007200","1992","2016","25","0.0342","0.1707","0.0342","0.185","0.3759"
"67"," "," "," "," "," "," "," "," "," "
"68","2007500","1990","2016","27","0.2581","0.2504","0.2581","0.508","0.0068"
"69"," "," "," "," "," "," "," "," "," "
"70","2008000","1992","2016","25","0.0481","0.0729","0.0482","0.219","0.2921"
"71"," "," "," "," "," "," "," "," "," "
"72","2008400","1990","2016","27","0.0132","0.0216","0.0132","0.115","0.5676"
"73"," "," "," "," "," "," "," "," "," "
"74","2008900","1990","2016","27","0.0191","0.1712","0.0192","0.138","0.4914"
"75"," "," "," "," "," "," "," "," "," "
"76","2011000","1990","2016","27","0.0031","0.2056","0.0031","0.056","0.7821"
"77"," "," "," "," "," "," "," "," "," "
"78","2013300","2001","2016","16","0.0034","0.0146","0.0034","0.058","0.83"
"79"," "," "," "," "," "," "," "," "," "
"80","3001700","1991","2016","26","0.0226","0.0228","0.0227","0.15","0.463"
"81"," "," "," "," "," "," "," "," "," "
"82","3008500","1990","2016","27","0.3325","0.7423","0.3324","0.577","0.0016"
"83"," "," "," "," "," "," "," "," "," "
"84","3010700","1992","2016","25","0.0206","0.0404","0.0206","0.143","0.4941"
"85"," "," "," "," "," "," "," "," "," "
"86","3013600","1993","2016","24","0.1923","0.2517","0.1923","0.439","0.0321"
"87"," "," "," "," "," "," "," "," "," "
"88","3015300","1995","2016","22","0.0717","0.0705","0.0716","0.268","0.2284"
"89"," "," "," "," "," "," "," "," "," "
"90","3015500","1990","2016","27","0.077","0.0557","0.077","0.278","0.161"
"91"," "," "," "," "," "," "," "," "," "
"92","3018900","1991","2006","16","0.1081","0.1136","0.1081","0.329","0.2137"
"93"," "," "," "," "," "," "," "," "," "
"94","3019500","1990","2016","27","0.2081","0.1888","0.2082","0.456","0.0168"
"95"," "," "," "," "," "," "," "," "," "
"96","3023400","1992","2016","25","0.0017","0.0135","0.0017","-0.041","0.844"
"97"," "," "," "," "," "," "," "," "," "
"98","3028600","1990","2016","27","0.0377","0.1443","0.0377","0.194","0.3316"
"99"," "," "," "," "," "," "," "," "," "
"100","3028700","1992","2016","25","0.017","0.2278","0.017","0.131","0.5341"
"101"," "," "," "," "," "," "," "," "," "
"102","3029300","1995","2016","22","0.0444","0.2934","0.0444","0.211","0.3465"
"103"," "," "," "," "," "," "," "," "," "
"104","3030400","1993","2016","24","0.0107","0.1999","0.0108","0.104","0.63"
"105"," "," "," "," "," "," "," "," "," "
"106","3032800","1992","2016","25","0.3379","0.3673","0.3378","0.581","0.0023"
"107"," "," "," "," "," "," "," "," "," "
"108","3035000","1992","2016","25","0.046","0.06","0.046","0.214","0.3033"
"109"," "," "," "," "," "," "," "," "," "
"110","3035800","1992","2016","25","0.0205","0.0276","0.0205","0.143","0.4947"
"111"," "," "," "," "," "," "," "," "," "
"112","3035900","1990","2016","27","0.1295","0.1344","0.1295","0.36","0.0653"
"113"," "," "," "," "," "," "," "," "," "
"114","3036000","1990","2016","27","0.1174","0.1541","0.1174","0.343","0.0802"
"115"," "," "," "," "," "," "," "," "," "
"116","3038100","1992","2016","25","0.157","0.1667","0.157","0.396","0.0499"
"117"," "," "," "," "," "," "," "," "," "
"118","3038300","1992","2016","25","0.0199","0.0841","0.0199","0.141","0.5008"
"119"," "," "," "," "," "," "," "," "," "
"120","3038600","1993","2016","24","0.1554","0.1307","0.1554","0.394","0.0566"
"121"," "," "," "," "," "," "," "," "," "
"122","3047500","1995","2016","22","0.0615","0.098","0.0615","0.248","0.2657"
"123"," "," "," "," "," "," "," "," "," "
"124","3048600","1996","2016","21","0.0232","0.0434","0.0232","0.152","0.5099"
"125"," "," "," "," "," "," "," "," "," "
"126","3050300","1991","2016","26","0.1191","0.1258","0.1191","0.345","0.0843"
"127"," "," "," "," "," "," "," "," "," "
"128","3050600","1999","2016","18","0.0295","0.233","0.0295","0.172","0.4956"
"129"," "," "," "," "," "," "," "," "," "
"130","3057600","1990","2016","27","0.0792","0.4976","0.0791","0.281","0.1551"
"131"," "," "," "," "," "," "," "," "," "
"132","3058200","1990","2016","27","0.0554","0.4359","0.0555","0.235","0.2371"
"133"," "," "," "," "," "," "," "," "," "
"134","3058800","1990","2016","27","0.0983","0.101","0.0983","0.314","0.1113"
"135"," "," "," "," "," "," "," "," "," "
