UID,m199005,m199006,m199007,m199008,m199009,m199010,m199105,m199106,m199107,m199108,m199109,m199110,m199205,m199206,m199207,m199208,m199209,m199210,m199305,m199306,m199307,m199308,m199309,m199310,m199405,m199406,m199407,m199408,m199409,m199410,m199505,m199506,m199507,m199508,m199509,m199510,m199605,m199606,m199607,m199608,m199609,m199610,m199705,m199706,m199707,m199708,m199709,m199710,m199805,m199806,m199807,m199808,m199809,m199810,m199905,m199906,m199907,m199908,m199909,m199910,m200005,m200006,m200007,m200008,m200009,m200010,m200105,m200106,m200107,m200108,m200109,m200110,m200205,m200206,m200207,m200208,m200209,m200210,m200305,m200306,m200307,m200308,m200309,m200310,m200405,m200406,m200407,m200408,m200409,m200410,m200505,m200506,m200507,m200508,m200509,m200510,m200605,m200606,m200607,m200608,m200609,m200610,m200705,m200706,m200707,m200708,m200709,m200710,m200805,m200806,m200807,m200808,m200809,m200810,m200905,m200906,m200907,m200908,m200909,m200910,m201005,m201006,m201007,m201008,m201009,m201010,m201105,m201106,m201107,m201108,m201109,m201110,m201205,m201206,m201207,m201208,m201209,m201210,m201305,m201306,m201307,m201308,m201309,m201310,m201405,m201406,m201407,m201408,m201409,m201410,m201505,m201506,m201507,m201508,m201509,m201510,m201605,m201606,m201607,m201608,m201609,m201610,m201705,m201706,m201707,m201708,m201709,m201710
1002300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1253.073333,1253.1925,1253.263333,1252.915,1252.593333,NA,1252.98,1253.026667,1252.895,1252.77,1252.72,1252.63,1253.116,1252.76,1252.61,1252.456,1252.393333,NA,1252.97,1252.77,1252.843333,1252.7,1252.53,NA,1252.733333,1252.6,1252.734,1252.446,1252.3,NA,1252.34,1252.4725,1252.485,1252.155,1251.88,NA,1252.705,1252.725,1252.823333,1253.033333,1252.92,NA,1252.714,1252.61,1252.4425,1252.34,1252.27,1252.11,1253.14,1253.065,1252.78,1252.43,1252.246667,NA,1252.772,1252.62,1252.87,1252.685,1252.635,NA,1252.536,1252.464,1252.5325,1252.256,1252.14,NA,1252.39,1252.47,1252.31,1252.164,1252.23,1252.28,1252.466667,1253,1252.744,1252.36,1252.2,1252.386,1252.77,1252.63,1252.264,1252.15,1251.86,1251.492,1252.334,1252.255,1251.982,1251.916667,NA,NA,1252.65,1252.78,1252.855,1252.58,1252.36,NA,1253.063333,1252.725,1252.57,1252.632,1252.4,1252.355,1252.664,1252.605,1252.545,1252.496,1252.525,1252.468,1253.1875,1253.148,1252.956,1252.836,1252.53,1252.27,1252.495,1253.176667,1253.236667,1252.745,1252.354,1252,1252.803333,1252.913333,1252.66,1252.301667,1252.19,1252.23,1253.124,1253.13,1252.8625,1252.786,1252.66,1252.54,1252.71,1252.755,1252.6475,1252.622,1252.845,1252.78,1253.018,1253.078,1253.218,NA,NA,NA,NA,NA,NA,NA,NA,NA
1003300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1224.426667,1224.567778,1224.702222,1224.344444,1224.125,NA,1224.604444,1224.462222,1224.462222,1224.2675,1224.1875,1224.253333,1224.602,1224.337778,1224.193333,1224.1375,1224.205714,NA,1224.653125,1224.3425,1224.49,1224.324444,1224.096,1224.073333,1224.533333,1224.293333,1224.5325,1224.235556,1224.057778,1224.04,1224.232727,1224.319,1224.44,1223.994286,1223.906667,1223.84,1224.456364,1224.3725,1224.351111,1224.485556,1224.61,1224.41,1224.353333,1224.305,1224.0075,1223.820714,1223.845,1223.63,1224.97,1224.838,1224.434,1224.116667,1223.966,1223.99,1224.475,1224.195,1224.545714,1224.416667,1224.276667,NA,1224.244,1224.188889,1224.31,1224.03,1223.918,1223.89,1224.251667,1224.306667,1224.121429,1224.022,1224.19,1224.25,1224.47,1224.705,1224.402,1223.99,1223.873333,1224.09,1224.41,1224.152,1223.786667,1223.68,1223.44,1223.42,1224.266,1224.17,1223.87,1223.531429,1223.452,1223.9,1224.76,1224.6,1224.45,1224.21,1224.04,1224.2,1224.652,1224.225,1224.086,1224.15,1223.992,1223.98,1224.22,1224.146667,1224.123333,1224.113333,1224.27,1224.22,1224.7,1224.613333,1224.44,1224.34,1224.12,1224,1224.54,1225.744,1225.35,1224.37,1223.97,1223.75,1224.703333,1224.683333,1224.3175,1223.96,1223.925,1223.92,1224.9525,1224.896667,1224.47,1224.276667,1224.41,1224.23,1224.586,1224.65,1224.356667,1224.33,1224.425,1224.41,1224.602,1224.39,1224.818,1224.665,1224.436667,1224.27,1224.75,1224.525,1224.37,1224.278,1224.445,1224.715
1003400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1224.674,1224.81,1224.963333,1224.59,1224.314444,1224.23,1224.82,1224.724,1224.652857,1224.434286,1224.364,1224.38,1224.8575,1224.54,1224.54,1224.437143,1224.4,1224.87,1224.77,1224.596,1224.72625,1224.546364,1224.29,1224.3,1224.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1224.624,1224.802,1224.853333,1224.704,1224.5075,1224.436667,1224.241667,1224.246,1224.17,1224.106,1225.190645,1224.996,1224.544194,1224.24129,1224.094667,1224.190323,1224.628667,1224.386667,1224.666774,1224.563548,1224.422667,1224.46871,1224.27,NA,NA,NA,NA,NA,NA,NA,NA,1224.12,NA,NA,1224.45,1224.65,NA,NA,NA,NA,1224.48,NA,NA,NA,NA,1223.7,1224.33,1224.26,NA,NA,NA,NA,NA,NA,1224.42,1224.18,1224.09,1224.25,1224.803333,1224.443333,1224.2725,1224.368,1224.2125,1224.18,1224.45,1224.3675,1224.346667,1224.376,1224.43,1224.26,1224.966667,1224.846667,1224.684,1224.625,1224.32,1224.2225,NA,NA,NA,NA,NA,NA,1224.94,NA,NA,NA,NA,NA,1225.2275,1225.086667,1224.723333,1224.55,1224.65,NA,1224.844,1224.82,1224.6,1224.5,1224.685,NA,1224.73,1224.61,1225.01,1224.93,1224.63,NA,1224.97,1224.825,1224.648,1224.54,1224.698,1225.03
1004500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1297.113333,1297.23,1297.66,1297.396,1297.35,1297.308,1297.256,1297.36,1297.512,1297.3,1297.28,1297.504,1297.36,1297.26,1297.394,1297.503333,1297.63,1297.85,1297.6,1297.296,1297.425,1297.27,1297.076,1297.075,1297.576667,1297.422,1297.68,1297.442,1297.24,1297.44,1297.432,1297.535,1297.48,1297.188,1297.03,1297.14,1297.735,1297.3,1297.185,1297.328,1297.465,1297.436,1297.2225,1297.13,1296.958,1296.845,1297.01,1296.826,1297.76,1297.65,1297.36,1297.265,1297.124,1297.1,1297.444,1297.266,1297.45,1297.425,1297.334,1297.42,1297.212,1296.984,1297.02,1296.704,1296.495,1296.475,1296.866667,1296.87,1296.655,1296.518,1296.81,1296.905,1297.421667,1297.7,1297.622,1297.295,1297.12,NA,1297.424,1297.17,1296.886,1296.61,1296.415,1296.33,1296.742,1296.655,1296.554,1296.48,1296.678,1297.29,1297.814,1297.822,1297.595,1297.314,1297.2,1297.32,1297.78,1297.57,1297.335,1297.354,1297.165,1297.065,1297.27,1297.165,1297.19,1297.196,1297.29,1297.28,1297.85,1297.765,1297.854,1297.87,1297.645,1297.49,1297.68,1297.9975,1297.946,1297.585,1297.002,1296.985,1297.8,1297.666667,1297.56,1297.285,1297.144,1297.165,1297.838,1297.994,1297.96,1297.826,1297.735,1297.645,1297.386667,1297.5,1297.42,1297.246,1297.4075,1297.33,1297.943333,1297.895,1298.034,1298.23,1298.1175,1297.946,1298.338,1298.35,1298.27,1298.315,1298.475,1298.506
1005700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1245.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1244.9,1245.143333,1244.82,1244.58,1244.81,1244.91,NA,1245.565,1245.54,1244.7975,1244.756667,1244.94,NA,1245.4,1244.939231,1245.01,1244.525,1244.593333,NA,1244.7,NA,NA,NA,NA,1245.69,1245.675,1245.354,1245.58,1245.335,1245.155,1245.496667,1245.222,1244.915,1244.738,1244.56,1244.505,1244.574,1244.906667,1244.8,1244.91,1244.76,1244.963333,1245.755,1245.35,1245.59,1245.03,1244.794,1244.758,1244.915,1245.28,1245.175,1244.98,1244.956,1244.85,1244.83,1245.304,1245.055,1245.39,1245.285,1245.37,1245.492,1245.673333,1245.705,1245.44,1245.61,1245.49,1245.488,1245.628,1245.7375,1245.596,1245.34,1245.132,1245.3,1245.893333,1245.65,1245.505,1245.405,1245.54,1245.725,1245.79,1245.65,1245.365,1245.342,1245.435,1245.58,1245.506667,1245.38,1245.275,1245.29,1245.3675,1245.36,1245.376667,1245.47,1245.77,1245.86,1245.83,1245.81,1245.38,1245.705,1245.786667,1245.75,NA,NA
1005800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1264.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1264.85,NA,1265.245,1265.08,1264.672,1264.48,1264.66,1264.8725,1264.47,1264.16,1263.91,1263.68,1263.62,1264.431667,1264.303333,1264.223333,1264.315,1264.525,1265.163333,1265.17,1265.24,1264.926667,1264.62,1264.553333,1264.73,1265.075,1264.903333,1264.733333,1264.68,1264.563333,1264.42,1264.7925,1264.806667,1264.87,1264.81,1264.92,1265.18,1265.16,1265.225,1265.28,1265.19,1264.77,NA,1265.14,1265.513333,1265.2,1264.903333,1264.593333,NA,1265.3,1265.248,1265.073333,1264.795,1264.74,1264.64,1265.37,1265.52,1265.116667,1264.9,1264.88,1264.82,1265.074,1265.076667,1264.79,1264.43,1264.53,NA,1264.65,1264.64,1264.715,1264.982,1264.896667,NA,1265.146667,1265.006667,1265,1265.106667,1265.253333,NA
1007100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1217.74,1217.14625,1218.6375,1217.77,1217.63,1216.93,1216.72875,1218.133846,1217.8025,1216.801818,1216.434286,NA,1218.176667,1217.33,1217.13,NA,1218.04,NA,NA,NA,NA,NA,NA,1216.31,1219.575,1218.468125,1217.131429,1216.94,1216.662857,NA,1217.032,1217.0925,1218.33,1217.556,1217.265,1217.38,1216.856667,1217.475,1218.812,1216.853333,1217.22,1216.52,1216.7875,1217.4475,1217.324,1216.92,1217.454,1217.35,1217.208,1218.528,1217.475,1217.0125,1216.9,1218.2125,1217.346,1216.705,1216.3575,1216.64,1215.9075,1215.92,1217.2525,1217.7525,1216.745,1216.495,NA,NA,1218.344,1218.1875,1218.345,1217.64,NA,NA,1217.49,1216.9275,1217.34,1217.5025,1216.94,1216.64,1217.5175,1217.396667,1217.096667,1217.97,1218.455,NA,1217.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1218.29,NA,NA,NA,NA,NA,1218.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1007700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1221.025,1221.438,1221.795,1221.615,1221.474,1221.49,1221.473333,1221.54,1221.748,1221.644,1221.66,1221.62,1221.888,1221.69,1221.623333,1223.16,1222.73,1222.11,1221.87,1221.696667,1221.74,1221.79,1221.59,1221.55,1221.696667,1221.96,1221.95,1221.68,1221.63,1221.57,1221.14,1221.175,1221.41,1221.06,1220.81,1220.83,1221.64,1221.41,1221.453333,1221.415,1221.73,1221.93,1221.6,1221.71,1221.633333,1221.5,1221.42,1221.28,1221.85,1221.66,1221.46,1221.306667,1221.116667,NA,1221.435,1221.273333,1221.966,1221.92,1221.856667,1221.76,1220.803333,1220.76,1220.975,1220.703333,1220.545,1220.42,1221.193333,1221.49,1221.315,1221.29,1221.46,1221.7,1221.72,1222.092,1221.775,1221.303333,1221.12,NA,1221.07,1220.786667,1220.288571,1220.226667,1219.98,1219.98,1221.146667,1221.09,1220.79,1220.54,1220.46,NA,1221.08,NA,NA,NA,NA,NA,1221.49,NA,NA,NA,NA,NA,1221.57,1221.54,1221.34,1221.77,1221.83,1221.82,1221.91,NA,NA,NA,NA,NA,1222.405,1222.373333,1221.836667,1221.49,1221.21,1221.27,1222.015,NA,NA,NA,NA,NA,1222.17,NA,NA,NA,NA,NA,1221.4775,1221.38,NA,1221.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1008700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1295.048,1295.212857,1295.186667,1295.2,1295.26,1295.486667,1295.418,1295.53,1295.364,1295.204,1295.13,1295.106667,1294.98,1295.16,1295.016667,1294.914,1294.835,1294.95,1294.975,1295.04,1294.782,1294.55,1294.525,1295.114,1295.1,1295.195,1295.14,1295.1,1295.12,1295.14,1295.005,1295.076,1294.89,1294.71,1294.5,1295.322,1295.33,1295.055,1294.885,1294.675,NA,1295.208,1295.1,1295.334286,1295.27,1295.188571,NA,1295.422,1295.353333,1295.39,1295.065,1294.745,NA,1295.05375,1295.156,1295.013333,1294.796667,1294.84,NA,1295.5225,1295.67,1295.61,1295.28,1295.266667,1295.496667,1295.2375,1294.996667,1294.7125,1294.374,1294.16,1294.095,1294.55,1294.45,1294.09,1293.7725,1293.646667,NA,1295.2425,1295.324,1295.26,1295.01,1294.81,1294.89,1295.39,1295.22,1295.0475,1295.02,1294.766667,1294.77,1295.08,1295.04,1294.963333,1295.066,1295.12,1295.113333,1295.605,1295.505,1295.53,1295.625,1295.275,1295.076667,1295.356667,1295.594,1295.675,1295.4875,1295.21,1295,1295.71625,1295.718,1295.56,1295.28,1295.17,1295.306,1295.715,1295.73,1295.675,1295.585,1295.7,1295.543333,1295.625,1295.586667,1295.71,1295.6625,1295.546667,1295.442,1295.588,1295.68,1295.93,1295.693333,1295.713333,1295.645,1295.7,1295.64,1295.67,1295.64,1295.584,1295.76
1008900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1219.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1219.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1220.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1220.42,1220.7925,1220.868,1220.635,1221.03,1220.71,NA,NA,NA,NA,NA,NA,1219.37,1219.5975,1221.326667,1220.995,1220.4875,1220.18,NA,NA,NA,NA,NA,NA
