"","start","end","length_time","correlation","rsquared","p_value","Sing_level"
"","","","","","","",""
"56091500","1999-05-01","2008-05-01","55","0.2308","0.0532","0.090082","."
"","","","","","","",""
"3057600","1994-05-01","1998-10-01"," 30","0.1069","0.0114","0.573947"," "
"3057600","1999-06-01","2017-05-01","108","0.2237","0.05","0.019942","*"
"","","","","","","",""
"56078400","1994-05-01","1997-09-01","23","-0.0866","0.0075","0.694501"," "
"","","","","","","",""
"56038500","1990-05-01","1997-10-01","48","0.109","0.0119","0.460873"," "
"56038500","2011-05-01","2016-09-01","35","0.3654","0.1335","0.03091","*"
"","","","","","","",""
"56038601","1994-06-01","2004-08-01","63","0.3076","0.0946","0.014206","*"
"56038601","2009-05-01","2016-05-01","43","0.5127","0.2629","0.000439","***"
"","","","","","","",""
"3019500","1997-05-01","2003-09-01","41","0.3935","0.1548","0.010925","*"
"3019500","2004-05-01","2009-09-01","35","0.004","0","0.981841"," "
"3019500","2011-05-01","2015-05-01","25","0.6559","0.4301","0.000372","***"
"","","","","","","",""
"34006600","1995-05-01","1998-08-01","22","0.6192","0.3835","0.002119","**"
"34006600","1998-10-01","2002-07-01","22","0.7072","0.5001","0.000233","***"
"34006600","2002-10-01","2009-09-01","42","0.1028","0.0106","0.517051"," "
"34006600","2013-05-01","2017-09-01","29","0.1847","0.0341","0.33734"," "
"","","","","","","",""
"73015900","1993-05-01","2001-09-01","53","0.4012","0.1609","0.002911","**"
"73015900","2002-05-01","2006-09-01","29","0.0677","0.0046","0.727019"," "
"73015900","2008-05-01","2012-09-01","29","0.3541","0.1254","0.059489","."
"","","","","","","",""
"5001300","1990-06-01","1993-08-01","21","0.5813","0.3379","0.005716","**"
"","","","","","","",""
"77021500","1990-08-01","1996-05-01","34","0.3307","0.1094","0.056093","."
"77021500","2003-05-01","2014-09-01","71","0.2015","0.0406","0.091899","."
"","","","","","","",""
"29018500","1992-05-01","1995-05-01","19","0.2599","0.0676","0.282524"," "
"29018500","1995-08-01","1998-09-01","20","0.2393","0.0573","0.30958"," "
"29018500","1999-05-01","2009-05-01","61","0.2129","0.0453","0.099435","."
"","","","","","","",""
