,X,lakeid,m199005,m199006,m199007,m199008,m199009,m199010,m199105,m199106,m199107,m199108,m199109,m199110,m199205,m199206,m199207,m199208,m199209,m199210,m199305,m199306,m199307,m199308,m199309,m199310,m199405,m199406,m199407,m199408,m199409,m199410,m199505,m199506,m199507,m199508,m199509,m199510,m199605,m199606,m199607,m199608,m199609,m199610,m199705,m199706,m199707,m199708,m199709,m199710,m199805,m199806,m199807,m199808,m199809,m199810,m199905,m199906,m199907,m199908,m199909,m199910,m200005,m200006,m200007,m200008,m200009,m200010,m200105,m200106,m200107,m200108,m200109,m200110,m200205,m200206,m200207,m200208,m200209,m200210,m200305,m200306,m200307,m200308,m200309,m200310,m200405,m200406,m200407,m200408,m200409,m200410,m200505,m200506,m200507,m200508,m200509,m200510,m200605,m200606,m200607,m200608,m200609,m200610,m200705,m200706,m200707,m200708,m200709,m200710,m200805,m200806,m200807,m200808,m200809,m200810,m200905,m200906,m200907,m200908,m200909,m200910,m201005,m201006,m201007,m201008,m201009,m201010,m201105,m201106,m201107,m201108,m201109,m201110,m201205,m201206,m201207,m201208,m201209,m201210,m201305,m201306,m201307,m201308,m201309,m201310,m201405,m201406,m201407,m201408,m201409,m201410,m201505,m201506,m201507,m201508,m201509,m201510,m201605,m201606,m201607,m201608,m201609,m201610,m201705,m201706,m201707,m201708,m201709,m201710,lakeid
1,120018543,56091500,1.50848945,5.329830142,1.545882174,2.598370648,1.833201058,1.911490974,3.478732917,6.725314904,3.898628226,2.463134217,3.04979196,0.843546188,1.944007638,4.6858619,3.99155814,3.642899727,1.928911188,0.290192636,3.972281819,4.633282306,6.756928119,2.973289316,1.449446511,0.525603969,1.84931401,4.408207018,4.448051489,2.756095816,2.679469301,3.282429405,2.771317475,2.399000552,6.356068752,4.039585174,3.633654286,2.928245589,3.736821918,2.257311392,3.456113281,1.17988622,2.954821902,3.499427666,1.969946936,3.990428505,4.841814438,2.941325917,2.218652367,2.914875617,4.429095068,5.655529248,3.213728224,2.0853597,1.266559561,5.059724263,4.375908761,3.995958343,4.106264302,3.999659062,3.736948692,0.460622064,2.877639978,4.098122016,4.514143061,1.855105569,1.546019128,1.909235655,2.659999373,3.281650961,3.686108428,2.867935562,3.000539292,1.525133644,2.105363988,4.508301629,6.163097127,4.71660301,1.380660297,2.080649316,3.362339229,6.590364755,2.742274426,0.825254771,2.39975133,1.255094591,4.919220126,2.679223009,4.199589288,3.205602375,5.157977411,2.756631942,3.00635254,6.466983983,2.369106163,4.798053547,4.112675442,2.466197715,2.230936958,2.300732905,1.570140204,3.375482021,4.46502153,0.723916471,3.287561416,4.443167731,1.35418437,2.417156563,4.012042876,3.84842668,1.977054854,4.732463048,3.250231993,2.087729845,3.268993346,4.419065435,1.171022194,3.659036311,1.588689137,3.671043227,2.214347143,5.571886192,2.858842537,4.062892938,5.067524825,5.554132462,5.922998194,2.76829231,4.362065709,3.473408693,7.050624,3.123866409,0.782529033,1.095346145,4.099136775,3.359801504,2.501699248,2.067280992,0.150691378,1.732170466,3.988895228,5.354653816,1.876505821,1.487439032,3.173850033,3.618287692,3.400242564,7.418401414,2.153014851,4.23554996,1.83322931,0.741815028,5.360032858,3.840415327,3.940323173,3.307013054,1.126301274,1.746796736,1.895029282,2.405499943,6.756075683,4.927628399,2.66496546,2.567440553,2.61954475,3.708725149,2.276739278,5.327230742,4.261604305,2.080176961,56091500
2,86274959,3057600,1.309436991,5.054027243,1.249275461,2.337148874,1.674066207,1.706507435,3.278978971,6.479320012,3.650471758,2.183225048,3.06603361,0.913351579,1.934996192,4.292970675,4.228694191,4.450239943,2.10637432,0.241703998,3.246742641,4.250993829,7.034727706,3.011997231,1.20375918,0.513831679,1.898120594,5.249709602,4.419810475,2.761235082,2.827934309,3.12393458,2.552584038,2.144633905,6.275344508,3.661632359,3.302659091,2.658516225,3.634558891,2.242377364,3.663383197,1.076913693,2.937309215,3.129129375,2.111448688,4.703293848,4.62593654,2.647565732,2.519053201,3.075144106,4.725841512,6.154454746,2.930266239,1.665115135,1.483126938,4.88469245,4.311312699,4.06399875,4.130895309,3.819740964,4.011882431,0.450370042,2.734590531,4.52290606,4.485810418,2.166358559,1.703091698,2.047175139,2.757204123,2.982359468,3.652895912,3.161995418,2.92898715,1.782170952,2.010422585,4.998993706,6.179899081,5.005776305,1.446472475,1.91985655,3.301480732,6.419416242,2.792483708,0.872001545,2.423733369,1.337298072,5.17712974,2.375867649,4.201491629,3.310530306,4.858118991,2.798333518,3.039651375,6.372407646,2.174312046,4.974519993,3.776308701,2.393902244,2.313479048,2.149398623,1.420622529,3.436924658,3.966084574,0.884587146,3.518571217,4.598654101,1.549247452,2.304936605,3.658851384,3.71040989,1.751283406,4.820180754,3.493027829,2.213917774,3.368863866,4.369118464,1.422921853,3.982941728,1.598744277,3.54808411,2.121814381,4.998785901,3.001149253,4.286201303,5.191571533,5.014548237,5.824454268,2.923551252,4.166676964,3.494663485,6.736573324,3.083205773,0.948617295,1.023533651,3.681292811,3.376288523,2.484126306,2.040810816,0.155263654,1.958908921,4.337824565,4.909383643,1.681343961,1.47981778,3.151814973,3.430654686,3.207318164,7.293737348,2.22920111,3.746350435,1.914658882,0.759249756,5.183492181,3.940496275,3.804261152,2.728704324,1.148477859,1.752513153,1.978914308,2.656698696,6.483024085,4.886411714,2.806648616,2.249185257,2.335233363,3.582016591,2.272172739,4.544147768,4.451938051,1.811965348,3057600
3,86280405,56078400,1.714418654,5.499918393,1.724757736,2.727910957,1.931964973,2.169985252,3.501158138,6.768425321,4.200040165,2.633309177,3.082844047,0.782450476,1.871640553,4.97399671,3.799139687,3.004179976,1.829603108,0.319567203,4.563964848,4.829265825,6.678277945,2.787750771,1.64100748,0.541993857,1.793860749,3.77066417,4.459649162,2.6609096,2.553866131,3.345228876,2.964766883,2.490564299,6.254068296,4.284583861,3.845764996,3.07263624,3.888206157,2.276581891,3.29016506,1.425044379,2.927627301,3.812013684,1.788354264,3.277127873,4.948806492,3.184786377,1.903809406,2.722090644,4.148291138,5.193488227,3.437384101,2.328319107,1.11760418,5.087738222,4.425141076,3.929505697,3.934338013,3.973020732,3.424777695,0.470494961,2.842963758,3.779736117,4.596055432,1.600144833,1.381328999,1.764073841,2.63391495,3.519852769,3.733028606,2.514066904,3.046721848,1.371802524,2.218873999,4.105634279,6.433383281,4.414059552,1.325020164,2.246072178,3.347314782,6.77566556,2.774112672,0.705721397,2.408865764,1.19171382,4.722766706,2.992415538,4.147449389,3.068238057,5.358149194,2.630751867,2.959474646,6.528361744,2.549183261,4.61277893,4.361177488,2.463488426,2.2042748,2.412825364,1.541300876,3.280767771,5.000586387,0.623695591,3.12845915,4.297955014,1.186774414,2.664756812,4.190100367,3.967249409,2.112450144,4.674703466,2.943067796,2.07457065,3.164185651,4.409695359,0.956900079,3.375770953,1.558842609,3.658339227,2.207303618,5.969064699,2.691701003,3.918941579,4.917001481,5.817911849,5.980079429,2.658966989,4.487795447,3.458898944,7.29448208,3.097615432,0.696692157,1.097461523,4.278684679,3.418329869,2.493970584,2.09504126,0.139291921,1.55276089,3.674716361,5.82973113,2.132196197,1.428037535,3.191184494,3.776283133,3.454700417,7.539305931,2.085925673,4.733517056,1.791274783,0.735148229,5.629243386,3.682317978,4.064248952,3.778877097,1.086334986,1.711517417,1.882471976,2.286772178,6.978755898,4.919920234,2.63626688,2.816004108,2.943634879,3.801917506,2.294345365,6.2332867,4.132017733,2.286721914,56078400
4,120018578,56038500,1.65912483,5.516897298,1.653177073,2.561194126,1.922788059,2.287046599,3.37992612,6.491636719,3.948608082,2.539788198,3.388654021,0.801353364,1.879194035,4.556735279,4.06913338,3.21031965,1.835075352,0.306486167,4.355329551,4.515104869,6.442847307,3.053701551,1.62625001,0.548580039,1.823367887,4.042024323,4.407118595,2.746338147,2.596436969,3.492050993,2.807364892,2.416154776,6.267005873,4.366682763,3.738845881,3.350717861,3.735751371,2.374121417,3.414999257,1.319170742,2.932680923,3.732712371,1.90483599,3.712656965,4.956290936,3.189893606,2.0479595,2.744290299,4.202241404,5.575618616,3.566762388,2.26622771,1.312353664,4.94735217,4.59890393,3.968917941,4.073632475,4.263989886,3.487655332,0.485794729,3.084230195,3.816132352,4.701350106,1.801577232,1.426283546,1.807735405,2.696722824,3.378154601,3.593920591,2.59877034,2.866984603,1.471596628,2.244167917,4.16559378,6.76005119,4.535286221,1.449736326,2.232641489,3.309466984,7.049894398,2.906217609,0.778522035,2.466640432,1.189147614,4.698953632,3.004581696,4.058398457,2.930984506,5.157930949,2.593880897,3.124061093,6.484157682,2.440598641,4.709628,4.345570416,2.565856552,2.147761456,2.37662769,1.54475683,3.377517481,4.610652183,0.69498262,3.057417313,3.904851684,1.343549314,2.345707301,4.27344007,4.101748385,2.087776299,4.672181986,3.196065754,2.012618533,3.205174738,4.461524744,0.940064832,3.553334526,1.592460572,3.692098001,2.076768134,5.65425231,2.753129388,3.940475322,5.144158226,5.962580647,5.847833679,2.826927363,4.593715906,3.341431618,7.316986885,3.392210815,0.774365549,1.126452278,4.517493088,3.416341757,2.640745788,1.94965778,0.146157678,1.549504705,3.912693294,5.697621239,2.076195729,1.525568834,3.045545514,3.695785001,3.763829875,7.392234985,2.227347369,4.654447498,1.896086312,0.764181771,5.560226464,3.800785798,4.111674881,3.748155815,1.236777846,1.846993016,1.945718188,2.319310024,6.888330474,4.870061137,2.592532767,2.572724986,2.774743694,3.794604653,2.620795204,6.056225918,4.099531732,2.366039068,56038500
5,120018557,56038601,1.611368152,5.480295928,1.624467249,2.517164056,1.899341262,2.249218251,3.366704077,6.471401042,3.854251455,2.465945026,3.396321182,0.820190851,1.877345313,4.473796888,4.112900516,3.392875528,1.864499954,0.303890571,4.247398857,4.474640771,6.47317673,3.116126428,1.574757248,0.545048795,1.845600779,4.26578444,4.412337925,2.768656431,2.63249126,3.482865857,2.743683089,2.349268529,6.232704371,4.29960772,3.661784792,3.3370821,3.694014611,2.369179735,3.516424794,1.28043047,2.930301435,3.654939196,1.941720344,3.98751875,4.871703039,3.146154119,2.112309385,2.782407664,4.261622195,5.708328042,3.510452554,2.203141829,1.369545732,4.924859341,4.618325654,4.03142342,4.09696274,4.271857864,3.532903267,0.490511853,3.107351106,3.946247646,4.907040054,1.839910929,1.442845663,1.899158445,2.802355915,3.342299179,3.613009298,2.651609623,2.798817165,1.6089003,2.230935493,4.264882639,6.752805449,4.62850679,1.435712975,2.16532371,3.218255749,7.001981924,2.92636223,0.803431671,2.382371543,1.21498157,4.649647068,2.847509409,4.057515043,2.955672694,5.123548407,2.624501711,3.179736827,6.400423605,2.37431742,4.705516555,4.233870668,2.560688352,2.172621191,2.313722998,1.5082513,3.22380656,4.487975708,0.717041561,3.082901438,3.899261424,1.412002794,2.333444573,4.245418899,4.103299399,2.068310811,4.680250096,3.241536836,2.010680818,3.241046917,4.466138764,0.980174213,3.605012616,1.612719233,3.660813809,2.037672835,5.557649907,2.792947471,4.001987335,5.185403163,5.877738158,5.826893339,2.855036107,4.573025275,3.344164898,7.042286501,3.397774668,0.796671437,1.125157174,4.510424728,3.398453004,2.741069268,1.94544003,0.14969583,1.643889666,4.010638014,5.625879736,2.074916954,1.530925247,3.020258946,3.658217685,3.727461841,7.276130944,2.238561565,4.50623675,1.936507154,0.773572947,5.530309408,3.833533379,4.039227817,3.554196871,1.260756031,1.861569314,1.946394474,2.356704039,6.787789021,4.862347449,2.606936435,2.441236072,2.707985028,3.761082714,2.638640884,5.829313948,4.130658643,2.297707577,56038601
6,120018461,3019500,1.347359592,4.988584179,1.273011754,2.088622785,1.609221774,2.057989406,3.093214611,6.244751275,3.576287657,2.217407171,3.498028216,0.986457847,1.778786655,3.76991582,4.38429529,4.554850458,2.0743201,0.237245367,3.247242992,4.104520238,6.806901966,3.333263801,1.316097225,0.551767857,1.858757512,5.700123609,4.442331719,2.663630655,2.852488875,3.221177649,2.341714138,1.887118504,6.255271808,3.724164088,3.227372099,3.002069275,3.336956981,2.257809065,3.714944222,1.152967189,2.974852478,3.282507522,2.182728075,4.819987352,4.536736559,2.754235241,2.497040604,2.966729904,4.627348749,6.311710685,3.114414418,1.677446039,1.657259932,4.635442933,4.740486864,4.140388452,4.516255864,4.426695027,3.793820251,0.580049772,3.213856527,4.543940293,4.611726879,2.856396015,1.799827502,2.072012195,3.136402602,3.063705634,3.722826722,3.116848478,2.666111986,2.129362197,2.129810383,5.037693124,6.468038003,5.122848869,1.64479434,2.076955277,2.949004936,6.580236923,3.086475209,1.00217069,2.296655153,1.304648004,4.94311331,2.319951503,4.256936122,3.030615216,5.291810588,2.772824233,3.3269007,6.336652166,2.056652214,4.638484056,3.490369582,2.782453225,2.440492186,1.975433259,1.364753924,3.516423536,3.832927515,0.924628029,3.262133077,3.970497502,1.944193977,2.14834981,4.081337661,4.042844317,1.825289411,4.629613868,3.360986413,2.140713251,3.400194082,4.515371309,1.334271816,3.779494072,1.816891069,3.468448096,1.8159011,4.810131456,3.010442172,4.283792193,5.415616019,5.384873344,5.852952693,2.92991944,4.310232151,3.448034543,6.302813106,3.668785909,0.992927622,1.065430779,4.213000805,3.796113751,2.903039121,1.910051479,0.189198524,1.969283747,4.417030333,5.067586288,1.951450964,1.64372383,2.917554984,3.241167648,3.289400904,7.55955708,2.552814011,3.651373662,1.910937354,0.874317169,5.63208063,3.681933404,3.860761805,2.652623723,1.466937565,1.978580903,1.847820313,2.648143014,6.126900771,4.691881224,2.742585019,1.885278867,2.148981068,3.481743335,2.38061989,4.936586186,4.26516728,1.942600432,3019500
7,120019640,34006600,2.94356294,6.746788884,3.387069402,2.652833527,2.263666574,2.55559127,4.542188951,6.112006877,4.260830608,2.382895697,4.128086956,0.913895103,2.00844186,5.212912106,4.012236657,3.205851212,1.56040903,1.053350937,6.578492661,5.806611775,4.95528357,4.654113838,2.265000678,0.828316398,1.916910149,3.454505057,4.306403905,4.148276486,2.666523203,3.954528606,2.967531936,3.317217461,5.206433224,5.237867532,3.069362782,4.369061934,3.760941123,2.630974881,2.998648995,1.89947742,2.201636292,3.920556537,1.688891993,2.621233168,5.634575047,4.112142811,2.121951562,1.906487275,3.906153316,5.374137006,4.03523523,3.439832113,1.587936298,3.953180091,5.224834893,4.105296194,3.981246827,3.776092779,2.370213161,0.868451942,3.562388438,3.38047097,5.783047944,1.674031933,0.790714459,1.523795194,2.927417414,3.415297836,2.7441467,1.904291536,2.425705172,1.161079732,2.513786843,4.339669107,7.45143812,5.412671462,1.983672746,3.138259883,3.807245635,6.209240989,3.424143821,0.626872659,3.028165081,1.052251895,5.40859662,4.216088233,3.888647772,2.596304791,6.049850621,2.317797658,3.583562686,5.584661912,2.232388506,4.015351808,6.288127563,3.676793569,1.435718001,3.04533365,1.75962763,4.304769127,4.676814749,0.491181435,2.202461364,2.205391595,1.287785608,3.962417865,4.593650442,5.050133604,2.985577688,4.639917899,2.82715793,2.333508901,2.960097599,4.107769826,0.75886361,3.852190446,2.271423753,4.352812398,1.694260388,6.771462395,2.462434022,4.719295531,4.363388522,7.621401535,5.55641205,3.000102701,5.088217268,3.341935563,7.297857249,3.611646869,0.581000289,0.999172266,7.503661577,3.758794762,2.459768142,1.638602439,0.189040108,0.99764341,4.255103954,6.503885749,2.118206509,1.206929732,2.845386105,4.24315968,4.858062992,8.030238367,1.828231624,5.146585778,1.821502939,0.727796793,5.462016785,5.10893159,5.33611214,3.933128329,1.450333932,2.093952239,2.564558743,3.282487045,7.111105011,5.882298937,3.707567306,2.639446678,3.883997587,3.16394946,2.852258067,7.959525324,3.340914432,3.677570621,34006600
8,45385756,73015900,3.408605179,6.805097255,3.626632632,2.340396258,2.427618038,2.685230775,5.020215712,5.827759616,4.139616157,2.482621221,4.515160618,1.123601036,2.27352625,4.397355149,3.679621764,3.220038409,1.440430261,1.165757007,6.787418857,5.867083614,4.394951376,5.123563603,2.379028951,1.108322992,1.893273481,3.80063175,4.361717666,4.020883597,2.77656645,4.109381621,2.762310234,4.494807591,4.405418908,5.475087792,2.695091346,3.922996283,3.565295227,2.372932172,2.557026735,1.467637761,2.215010678,3.906245425,1.626907564,2.686802191,5.858361753,4.713436984,2.347292569,1.684884087,4.767282493,5.198559366,3.744612802,4.303327146,1.675199437,3.384044501,5.635451953,4.304228261,4.011662244,3.187037009,2.235773187,1.086637953,3.335677228,3.720540096,5.938365303,1.55315905,0.778129665,1.480383425,3.314784147,3.569374621,2.350040437,1.994737399,2.265933286,1.25609611,2.375267761,4.865243303,9.252994244,6.612061081,2.697674858,3.411543808,3.73757026,5.897974769,4.157480672,0.450951955,3.276748194,1.222905826,6.551383461,4.293050523,3.958338812,1.917655473,6.331695634,2.73361464,3.58651948,6.03040427,1.907335037,3.575551188,6.165759956,4.540820892,1.420466662,3.077024855,1.531069538,4.909138578,4.543871967,0.601831359,1.991600264,2.106870409,1.351868962,4.814119702,4.076852721,5.109069534,3.379762647,5.060133869,2.328371146,2.900231219,3.107525596,3.680752688,0.815001439,4.252960503,2.764698181,5.126172925,1.575077582,6.968375653,2.499832988,5.035337257,3.788260585,8.531059509,4.955058979,3.295192135,5.153597052,3.844405952,7.309831142,4.83455844,0.640239369,0.997207076,8.430840944,4.232563605,2.644241617,1.533687286,0.173567475,0.903019118,4.815454838,6.329380296,1.877257471,0.945778256,2.800174251,4.413509615,5.23985974,7.326497627,1.704056099,5.19970489,1.800212922,0.668444022,5.659967452,5.596577831,5.697874273,3.418890006,1.416181405,2.138216712,2.260361766,3.77936625,7.652211718,5.216356561,4.119029701,2.464896982,4.42895183,2.829861348,2.440819698,6.940123054,3.382198293,4.047199699,73015900
9,166948628,5001300,3.635614196,8.364004459,4.572140394,2.875248652,2.110456382,2.795779086,5.303051929,5.452379752,4.180661892,2.735240026,4.396928981,1.537583784,2.276694183,3.358671642,3.394753189,2.509145057,1.47716846,1.243927674,6.067764376,5.573460773,4.083231859,5.310528705,2.275342524,1.348674284,1.525256742,3.652459903,4.384603651,3.54063758,3.100838616,3.711019754,2.468169273,4.181188317,3.651648073,6.497423798,2.412375251,3.299473674,3.260248162,2.291478503,2.464046149,1.615347649,1.798453689,3.431696533,1.440266468,2.744115076,6.484968599,5.273622448,2.075818288,1.456363913,4.365287126,4.701286452,3.37325152,4.056729864,1.548991022,2.538541529,5.51862476,4.364778249,4.069379457,3.845198898,2.372983514,1.22421239,3.144340308,3.634579885,4.790599339,1.448773535,0.955302647,1.504805959,3.791764269,3.61570294,2.33282692,2.021357532,2.086183908,1.330355179,2.27157512,5.189556115,7.562611428,6.152912821,4.698727648,3.525862477,3.81298719,4.954272222,3.846526976,0.541999122,3.531653665,1.210666993,6.685111844,3.975170453,3.664555999,1.743727428,5.767716787,3.177389822,3.502888179,5.469936925,1.96267527,3.50231129,5.807142067,4.954163284,1.601291939,2.890729275,1.708745508,4.653939358,4.562200418,0.884375663,1.6655882,2.429077608,1.532318108,4.825052733,4.082679168,4.726924856,3.670756955,4.851014388,1.894228749,3.441123737,3.350389791,3.020487317,1.170341878,3.817591045,2.758428323,5.255004421,1.105771426,6.497411477,2.387647898,5.260272751,3.642205296,7.533753513,5.840401108,3.010944973,5.521276696,3.726180832,6.534454861,5.257422935,0.737761769,1.184765618,8.955808385,3.613664112,3.406626554,1.406040261,0.24758479,0.817097895,4.957283218,6.239627306,1.807169077,0.83882644,2.470303956,4.404390399,5.862032584,6.842372832,1.690154717,5.141117139,2.892777321,0.708619104,5.799711959,4.946740522,6.492880557,3.328903627,1.995812698,2.777318126,2.219362264,3.524303538,7.410047624,6.787504212,3.818696814,2.504883191,4.545336349,3.206336603,2.571664135,6.01835845,3.176138212,4.665899835,5001300
10,120019732,77021500,2.245894623,6.33747486,2.515720728,2.772223355,2.392826945,3.192795894,3.148032768,7.086079722,4.365185164,2.253485641,3.713280458,0.830420629,2.175581584,4.431067351,3.674655614,2.127772511,1.223760925,0.546169973,6.051872555,4.81493197,5.178283861,3.336658924,2.035675084,0.610139388,2.140734621,2.715112645,3.582869935,2.693331861,2.545228941,4.370160874,2.751625905,2.959990559,5.965786608,5.391691433,3.731691162,4.548309617,3.759137179,3.178385549,2.792239445,1.854189404,3.198663367,4.161191859,1.561062135,2.252433648,5.257977683,4.370051519,1.754519505,2.016634726,3.925090278,5.66323741,4.800334859,3.043771972,1.943578157,4.414854726,5.274793838,4.218586807,3.463177966,4.39175674,3.018691461,0.664418472,3.423058688,3.193236841,5.463681719,1.729789783,1.059341407,1.601226656,2.819818521,4.163492845,2.920025388,1.934922593,2.417736448,1.221320157,2.738965679,3.41024236,8.424350207,4.40039154,1.687333897,2.795687274,3.566574767,8.913383869,2.981118675,0.597172344,2.459258526,1.16634183,3.815781708,3.420200632,3.84586525,2.378920102,5.649298521,2.216336212,3.547971988,6.467477717,2.392594435,5.101194159,5.901116093,3.131338455,1.521824012,2.34417022,1.446183713,3.968724077,4.845063724,0.543280293,2.496622396,2.081961732,1.476237715,2.873354717,4.658175468,5.022065893,2.316986441,4.892137854,3.226670866,1.908846809,3.253258724,4.322498883,0.500174119,3.811864929,1.776215106,3.594317958,1.532657711,6.54964802,2.553071335,4.053669385,5.929697951,6.789226817,5.728838218,3.056369933,5.160057485,2.899983471,7.683894007,4.224175557,0.83981712,1.163248261,6.211959867,3.626650588,3.01314474,1.315148649,0.183834308,1.082810813,4.043544842,6.183565767,2.500375694,1.235494882,3.615253146,4.064535566,5.005450399,6.906365728,2.613012351,5.373004141,2.285457025,0.813710587,5.560480565,4.239260517,4.982865672,4.670745955,1.476073511,2.258442778,2.477823062,2.713376406,7.299841408,4.502941051,2.955040848,2.522803647,3.212330754,3.796401891,4.436642884,8.154563879,3.87050447,3.287466214,77021500
11,120020750,29018500,1.207791511,5.022582985,1.821243882,1.813718922,1.650318447,3.283135756,3.44978934,4.269389938,3.665907684,2.279751081,4.524094452,1.084516287,1.238056373,3.364504241,4.595658454,4.362763756,2.212367203,0.343393811,3.774933752,4.015734946,5.797369437,4.425315741,1.739468127,0.580901349,1.749007973,6.785170272,4.681340875,2.723824159,2.858749551,3.336869951,2.278753983,1.404046405,6.494444641,4.105370537,3.174930329,4.22657002,2.689043981,2.502373217,3.526719508,1.678050739,3.464386822,3.718636554,2.228535222,4.929251642,5.402263727,2.790407412,2.589539667,2.503752566,3.993998768,5.417200938,3.146663357,1.884365208,1.786526319,4.203437865,5.626088801,4.39759339,5.660883973,5.118363254,3.69009978,0.889909664,3.550339419,4.629210012,4.319228793,4.220233478,2.060557286,2.249506419,3.636969128,3.043414272,3.122060627,2.910052188,2.193933845,2.599763836,2.155412758,5.370375412,5.970905957,5.21762424,2.162012005,2.046748566,2.716939125,5.494262252,3.685132417,1.403412588,2.132339646,1.23550202,4.405068398,2.025370334,4.288242597,2.385321144,6.167823343,2.963594868,3.981481604,5.979831286,1.790618514,5.73157238,2.742586752,3.251099816,2.861943279,3.976165269,1.508173679,3.128749801,3.667874396,2.812033797,3.298298542,3.175314928,2.961103509,1.819557861,4.226353868,4.427420775,2.089060015,4.401899777,3.591501259,1.477323169,3.493105136,4.763496553,1.362401332,3.393809737,2.210846625,3.099100763,1.603711929,5.009748119,2.722209594,4.213818361,5.307406496,5.607387426,5.636858463,2.84792371,4.221682447,3.903681851,6.169173384,3.985256926,1.237508778,1.0580599,4.421047329,4.631900141,3.660393977,2.012870403,0.29143713,1.909935981,3.942106366,4.582481469,2.263192413,2.153788135,2.383458304,3.101955598,3.461186765,8.703463427,2.734523577,3.359276976,1.573070781,1.049460195,6.489839765,4.003557735,4.017428084,2.114787059,2.110390238,2.349885535,1.554182509,2.711906323,5.308352942,5.082470024,2.984551226,1.366950265,1.831649502,3.111424788,2.471736101,4.900062232,3.911514826,2.317583092,29018500
12,120020746,29011700,1.173597142,4.958903117,1.848093989,1.774192541,1.664425743,3.543704421,3.531652739,3.994135276,3.662021754,2.228275114,4.681172843,1.109830424,1.202223255,3.333714273,4.629598314,4.363809459,2.264990139,0.362737294,3.797430247,3.910457504,5.816916212,4.516899654,1.768064397,0.583214968,1.739541573,6.96955508,4.718919233,2.745949719,2.874225964,3.355449725,2.268334107,1.354401404,6.463141436,4.135762822,3.143899641,4.310817427,2.581988221,2.542851984,3.488483746,1.740917816,3.544060647,3.783586202,2.251795957,4.959267843,5.52954507,2.733984583,2.64063552,2.468187949,3.925587738,5.336163462,3.119994971,1.908629817,1.828131998,4.098984859,5.749315451,4.429594527,5.830004375,5.215883682,3.708379275,0.962474037,3.448247356,4.573219176,4.049338617,4.44354736,2.074222873,2.258104572,3.674578638,2.93148268,3.030371356,2.851938805,2.140938459,2.652083399,2.148134389,5.608025122,5.788778446,5.259345367,2.204721702,2.042293623,2.674136826,5.19105031,3.736563857,1.429669761,2.142091042,1.244244506,4.393860462,1.930841114,4.336997547,2.294367009,6.355608794,2.956456923,4.064800914,6.085359711,1.847184251,3.33826161,2.617258066,3.330951445,2.93400825,2.056520659,1.553824886,2.932739084,3.66731644,2.726981316,3.298545464,3.00049677,3.141593749,1.781076064,4.16275809,4.451852205,2.146627115,4.300000909,3.489688351,1.473819882,3.544320135,4.762955211,1.403291692,3.26660097,2.294029846,3.084945881,1.540767368,4.981335448,2.620502072,4.156482324,5.293356691,5.502566947,5.616044518,2.758891101,4.201762002,3.990922311,4.184692683,4.031149633,1.276577808,1.046508886,4.4492753,4.839353124,3.718898365,2.063123156,0.310232824,1.876650215,3.838136688,4.350503335,2.330208106,2.242014484,2.239978991,3.075766726,3.517351776,8.912509613,2.744837456,3.254796053,1.549473918,1.069278579,6.670325555,3.99432321,4.173260927,2.061275252,2.294849768,2.442684388,1.500003923,2.764888723,5.157963331,5.283511181,2.949578171,1.335085313,1.834661984,3.104715138,2.443650891,4.693735389,3.842499133,2.432910448,29011700
