"","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"1002300","NaN","NaN","NaN","1224.433","1224.373","1224.295","1224.33","1224.282","1224.122","1224.448","1223.994","1224.386","1224.382","1224.097","1224.19","1224.255","1223.815","1223.865","1224.377","1224.181","1224.182","1224.369","1224.621","1224.252","1224.539","1224.46","1224.53","1224.514"
"1003300","NaN","NaN","NaN","1224.597","1224.563","1224.607","1224.538","1224.55","NaN","1224.746","1224.285","1224.543","1224.523","1224.27","1224.12","1224.55","1224.09","1224.295","1224.235","1224.38","1224.372","1224.611","NaN","1224.94","1224.848","1224.69","1224.782","1224.785"
"1003400","NaN","NaN","NaN","1297.343","1297.369","1297.5","1297.29","1297.467","1297.301","1297.408","1296.999","1297.377","1297.39","1296.815","1296.771","1297.432","1296.806","1296.733","1297.511","1297.378","1297.232","1297.746","1297.533","1297.437","1297.833","1297.382","1298.028","1298.376"
"1004500","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1245.72","NaN","NaN","1244.9","1244.853","1245.12","1244.894","1245.195","1245.433","1244.752","1245.016","1245.073","1245.012","1245.316","1245.568","1245.456","1245.62","1245.527","1245.363","1245.686","1245.655"
"1005700","NaN","NaN","NaN","NaN","1264.89","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1264.85","1264.827","1264.119","1264.494","1264.873","1264.729","1264.897","1265.125","1265.07","1264.966","1265.101","1264.78","1264.777","1265.103"
"1005800","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1217.642","1217.18","1217.669","1216.31","1217.755","1217.443","1217.289","1217.214","1217.556","1216.479","1217.061","1218.129","1217.14","1217.687","1217.77","NaN","1218.29","1218.84","NaN","NaN","NaN"
"1007100","NaN","NaN","NaN","1221.473","1221.614","1222.2","1221.706","1221.748","1221.071","1221.596","1221.524","1221.479","1221.702","1220.701","1221.408","1221.602","1220.389","1220.805","1221.08","1221.49","1221.645","1221.91","1221.764","1222.015","1222.17","1221.386","NaN","NaN"
"1007700","NaN","NaN","NaN","NaN","NaN","1295.182","1295.355","1295.002","1294.804","1295.128","1294.887","1295.053","1295.22","1295.195","1294.972","1295.474","1294.596","1294.102","1295.089","1295.036","1295.064","1295.436","1295.387","1295.458","1295.658","1295.595","1295.708","1295.666"
"1008700","NaN","NaN","NaN","NaN","NaN","NaN","1219.08","NaN","NaN","NaN","NaN","NaN","1219.25","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1220.38","NaN","NaN","NaN","1220.743","NaN","1220.326","NaN"
"1008900","NaN","NaN","NaN","1262.515","NaN","1262.55","NaN","NaN","NaN","NaN","NaN","1262.513","1262.623","1262.785","1262.444","1262.482","1262.364","1262.258","1262.435","1262.387","1262.592","1262.525","1262.693","1262.569","1262.684","1262.562","1262.756","1262.59"
